Data Size,Existing Word,Random Word
10,424,493
20,404,481
30,384,487
40,403,488
50,401,493
60,426,525
70,406,490
80,385,489
90,387,481
100,388,492
200,735,847
300,748,848
400,729,848
500,716,852
600,734,850
700,808,850
800,742,833
900,739,861
1000,740,864
2000,1103,1199
3000,1096,1200
4000,1110,1199
5000,1097,1216
6000,1092,1199
7000,1105,1202
8000,1115,1204
9000,1108,1200
10000,1072,1202
20000,1520,1634
30000,1537,1635
40000,1499,1611
50000,1500,1630
60000,1514,1635
70000,1489,1628
80000,1508,1628
90000,1527,1634
100000,1612,1632
